,comment,label
0,assume curl handle,CODE
1,is cacheable,CODE
5,compatibility digest digest,CODE
6,use specific options get post otherwise perform custom request the putupload options nt appear work instead hanging forever,DEFECT
7,this callback cancel request,DEFECT
8,these drop replacements stringr functions used httr they retain functionality stringr used httr notably generally vectorized,CODE
9,default options httroauthcache na tested cache exist created interactive,TEST
10,skip travis avoid hammering ftp server nt seem able handle multiple simultaneous requests,ARCHITECTURE
11,must reuse ftp connection closed wrong time causing problems final test,TEST
12,quick hack create structure topics use existing selecttopics,CODE
13,reloading pkgdown s running causes weird behaviour context cache,ARCHITECTURE
14,work around mustache deficiency,BUILD
16,knitr takes function name user need load package,CODE
17,needs handle na desc descget,CODE
19,uris supported,DEFECT
21,update href toc anchors use instead,CODE
22,effectively nothing used parseitems split sequence tags,CODE
23,need unescape highlighttext tell s r code it ll reescape needed,CODE
24,the real location 404html dynamic relative root work use full url available,DEFECT
25,force inclusion reliably refer objects inside yaml moustache templates,CODE
26,get md5 digests recorded plots mergelowplot works,CODE
29,pkgdown probably installed,BUILD
31,github test buildignored prevent note unexpected hidden directory skip cmd check github directory presents,BUILD
32,github test buildignored prevent note unexpected hidden directory skip cmd check github directory present,BUILD
33,github test buildignored prevent note unexpected hidden directory skip cmd check github directory present,BUILD
34,unsupported formats left alone escaping special characters,CODE
36,ca nt embed package path long gives r cmd check note,DEFECT
37,fit call data dataframe xx consider replacing fit call matchcall consistency tidyness,CODE
38,choose model orders serial technically could combined code,CODE
39,why needed,CODE
40,trend estimation like stl without seasonality nonrobust version,ARCHITECTURE
41,functions remove outliers fill missing values time series nothing multiple seasonality yet,REQUIREMENTS
42,copied seasonal extractwnaaction importing problematic due issues arm processors,CODE
43,do nt use f resid may contain multiplicative errors,CODE
44,just avoid errors,CODE
46,needed moment,CODE
47,not sure would occur,DEFECT
48,not sure would occur,DEFECT
49,deprecated,CODE
50,length tt length how happen,CODE
51,time series objects assumed,DESIGN
52,use ggfortify version loaded prevent cran errors,BUILD
53,todo rewrite,CODE
55,draw forecast intervals todo find reliable method stacking correctly,CODE
56,not enough data much stop all values must positive,ALGORITHM
57,this happen,DEFECT
58,create trend season missing data tsvar if data formula,DESIGN
59,tsvar if data formula nonseasonal data season requested,DESIGN
61,check regressors included newdata not working removed,DEFECT
62,todo,CODE
63,what x,CODE
65,probably redundant check,CODE
66,use aic npar aicc wo nt work tiny samples,CODE
67,not sure ever happen,DEFECT
69,future currently implemented,REQUIREMENTS
70,this probably grossly inefficient i ca nt think better way right,ARCHITECTURE
71,calculate accuracy sd accross folds include,CODE
73,forecasts transformed manually boxcox match forecasts lambda passed argument,DEFECT
74,forecasts transformed manually boxcox match forecasts lambda passed argument,DEFECT
75,tests run travis parallel expectoutput print tbats woolyrnq numcores regexp tbats expectoutput print tbats elecsales numcores usetrend false regexp bats,TEST
76,originally x sort leaf always left x nt want assume leaf left,CODE
77,add graph attributes directed are officially supported,CODE
78,adhoc use freedmandiaconis binwidth rescale time accordingly,DESIGN
81,todo print tree,REQUIREMENTS
83,this tedious graph big always n1 internal nodes restrict say level default,ARCHITECTURE
84,todo make faster nt need whole matrix usually,ARCHITECTURE
85,nop,CODE
86,todo rewrite c make faster,ARCHITECTURE
87,c drops names zero length vectors why,DEFECT
88,todo better generic mechanism modifiers,CODE
90,todo speed,ARCHITECTURE
91,todo speed,ARCHITECTURE
93,we might need rename attributes,CODE
94,ca nt onload,CODE
95,old values,CODE
97,different kinds arrows drawn separately arrows handle vector code argument,CODE
98,could also parameters arrow width arrow length,CODE
99,new style parameters ca nt yet,CODE
100,todo checkscalarstring shape checkfunction clip checkfunction plot checklist parameters namedtrue,DEFECT
101,plot anything,DEFECT
102,need create separate image every different vertex color,REQUIREMENTS
103,todo getoption maxprint,CODE
105,so many items print,REQUIREMENTS
106,todo list adding edges graph exporting graphics scroll bar graph list area impossible right list window title error dialog keyboard shortcuts implement min max tkigraphdialog,REQUIREMENTS
107,bug currect igraph version workaround,DEFECT
108,todo,CODE
109,newest implementation hopefully correct c implementation nt need,CODE
110,ignored anyway,CODE
112,grid canvas object implemented tcltk,BUILD
113,would need update,CODE
114,todo different types objects selected,REQUIREMENTS
115,we nt need stored environment,CODE
116,drop alpha channel tcltk nt support,BUILD
117,for future right warn even message,CODE
118,todo,CODE
121,todo weighted closeness,DESIGN
124,todo special functions,TEST
125,todo checks cliques,TEST
127,todo check minimal,TEST
128,us scan0 unweighted directed todo,TEST
129,us scan2 unweighted directed todo,TEST
133,todo consider setting verbose false,CODE
134,todo using authtoken provided argument s passed along,CODE
135,todo honor default branch,CODE
136,creates backdoor exploit tests,ARCHITECTURE
137,errors token nt check,DEFECT
139,todo rework ui functions make possible better,CODE
140,todo make attractive,CODE
141,ca nt label level ie oldlabelname newlabelname fails newlabelname already exists https githubcomrlibusethisissues551 must first patch issues sort labels,DEFECT
142,todo honor defaultbranch,VERSIONING
143,todo used usable gitsitrep currently uses oneoff code checking token,VERSIONING
144,assumptions issue number called issuenumber make sure tweak endpoint necessary full check github remote config done userfacing caller here determine repospec naive local way the remote config check also expose lack pat,VERSIONING
145,todo suggest git rm r cache docs ca nt currently detect git known files directory,VERSIONING
146,todo honor default branch,VERSIONING
147,todo turn interactive choice if uncommitted changes i think branch switch always fail otoh s harm letting happen ie risk something partially,DEFECT
148,todo honor default branch,VERSIONING
149,todo honor default branch,VERSIONING
150,todo honor default branch,VERSIONING
151,have done check ve cached prurl git config,VERSIONING
